Target (Entrez)	Target (Gene Symbol)	P-value (global)	P-value (local)	Association	microRNA
6895	TARBP2	4.95e-07	6.89e-07	negative	hsa-let-7d
6895	TARBP2	4.95e-07	4.51e-06	negative	hsa-let-7g
6895	TARBP2	4.95e-07	8.64e-05	negative	hsa-let-7a
6895	TARBP2	4.95e-07	0.000662	negative	hsa-let-7c
10621	POLR3F	5.15e-07	3.39e-09	positive	hsa-miR-16
10621	POLR3F	5.15e-07	3.79e-06	positive	hsa-miR-15b
476	ATP1A1	5.19e-07	4.52e-09	positive	hsa-miR-374b
476	ATP1A1	5.19e-07	1.97e-08	positive	hsa-miR-374a
84787	SUV420H2	5.21e-07	9.74e-07	negative	hsa-miR-125a-5p
84787	SUV420H2	5.21e-07	3.67e-05	negative	hsa-miR-125b
84787	SUV420H2	5.21e-07	6.51e-05	negative	hsa-miR-29b
84787	SUV420H2	5.21e-07	0.00161	negative	hsa-miR-29a
26137	ZBTB20	5.67e-07	5.67e-07	positive	hsa-miR-214
317649	EIF4E3	6.06e-07	3.37e-11	positive	hsa-miR-152
10269	ZMPSTE24	6.34e-07	6.34e-07	positive	hsa-miR-182
5713	PSMD7	6.42e-07	7.42e-08	positive	hsa-miR-16
5713	PSMD7	6.42e-07	4.02e-07	positive	hsa-miR-195
5713	PSMD7	6.42e-07	4.68e-06	positive	hsa-miR-15a
5713	PSMD7	6.42e-07	0.00209	positive	hsa-miR-30b
255967	PAN3	6.63e-07	2.22e-08	positive	hsa-miR-454
255967	PAN3	6.63e-07	5.23e-07	positive	hsa-miR-199b-5p
255967	PAN3	6.63e-07	0.000249	positive	hsa-miR-143
5991	RFX3	6.88e-07	6.88e-07	positive	hsa-miR-660
8869	ST3GAL5	7.49e-07	2.7e-07	negative	hsa-miR-141
8869	ST3GAL5	7.49e-07	1.15e-05	negative	hsa-miR-19b
8869	ST3GAL5	7.49e-07	0.000278	negative	hsa-miR-19a
283989	TSEN54	8e-07	8e-07	negative	hsa-miR-135a
9989	PPP4R1	8.37e-07	8.37e-07	positive	hsa-miR-338-3p
